observed_date,station_id,station_name,avg_temp,min_temp,max_temp,daily_rainfall,avg_humidity
2024-07-01,108,서울,27.5,22.1,33.2,0.0,68.5
2024-07-05,108,서울,28.2,23.0,34.1,0.0,65.2
2024-07-10,108,서울,26.8,21.5,32.0,2.5,72.1
2024-07-15,108,서울,29.1,24.2,35.3,0.0,60.8
2024-07-20,108,서울,30.5,25.1,36.8,0.0,55.3
2024-07-25,108,서울,31.2,26.0,37.5,0.0,52.1
2024-08-01,108,서울,30.8,25.5,36.2,5.2,63.4
2024-08-10,108,서울,29.5,24.1,35.0,0.0,60.2
2024-08-15,108,서울,28.9,23.8,34.5,3.1,67.8
2024-08-20,108,서울,27.5,22.9,33.2,0.0,69.5
2024-08-25,108,서울,26.8,22.0,32.5,0.0,71.2
2024-09-01,108,서울,24.5,19.8,30.1,0.0,65.3
2024-09-10,108,서울,22.1,17.5,28.2,8.5,70.4
2024-09-15,108,서울,21.8,16.9,27.5,0.0,68.1
2024-09-20,108,서울,20.5,15.2,26.8,0.0,64.2
2024-09-25,108,서울,19.2,14.1,25.5,0.0,62.5
