business_date,channel,gross_sales_amount,net_sales_amount,order_count,cancel_count,refund_amount,discount_amount,payment_card_amount,payment_cash_amount,payment_simple_amount,pattern_note
2026-03-01,offline_pos,1224000,1186056,120,1,7344,30600,1043729,59303,83024,
2026-03-02,offline_pos,688327,665612,79,1,5507,17208,585739,33281,46593,
2026-03-03,offline_pos,857766,827744,91,1,8578,21444,728415,41387,57942,
2026-03-04,offline_pos,934822,900233,98,1,11218,23371,792205,45012,63016,
2026-03-05,offline_pos,887984,853352,92,1,12432,22200,750950,42668,59735,
2026-03-06,offline_pos,1388685,1345636,129,1,8332,34717,1184160,67282,94195,
2026-03-07,offline_pos,1337994,1293840,123,1,10704,33450,1138579,64692,90569,
2026-03-08,offline_pos,1428830,1378821,130,1,14288,35721,1213362,68941,96517,
2026-03-09,offline_pos,653904,629709,76,1,7847,16348,554144,31485,44080,
2026-03-10,offline_pos,941017,904318,101,1,13174,23525,795800,45216,63302,
2026-03-11,offline_pos,895850,868079,95,1,5375,22396,763910,43404,60766,
2026-03-12,offline_pos,973386,941264,102,1,7787,24335,828312,47063,65888,
2026-03-13,offline_pos,1342656,1295663,126,1,13427,33566,1140183,64783,90696,
2026-03-14,offline_pos,1292280,1244466,120,1,15507,32307,1095130,62223,87113,
2026-03-15,offline_pos,1382014,1328116,127,1,19348,34550,1168742,66406,92968,
2026-03-16,offline_pos,685835,664574,73,1,4115,17146,584825,33229,46520,
2026-03-17,offline_pos,902384,872605,98,1,7219,22560,767892,43630,61082,
2026-03-18,offline_pos,857532,827519,92,1,8575,21438,728217,41376,57926,
2026-03-19,offline_pos,933966,899409,99,1,11208,23349,791480,44970,62959,
2026-03-20,offline_pos,1297281,1246687,123,1,18162,32432,1097085,62334,87268,
2026-03-21,offline_pos,1385800,1342840,130,1,8315,34645,1181699,67142,93999,
2026-03-22,offline_pos,1335852,1291769,124,1,10687,33396,1136757,64588,90424,
2026-03-23,offline_pos,770738,743763,83,1,7707,19268,654511,37188,52063,
2026-03-24,offline_pos,949905,914758,95,1,11399,23748,804987,45738,64033,
2026-03-25,offline_pos,939624,902978,102,1,13155,23491,794621,45149,63208,
2026-03-26,offline_pos,895200,867449,96,1,5371,22380,763355,43372,60721,
2026-03-27,offline_pos,1252560,1211226,120,1,10020,31314,1065879,60561,84786,
2026-03-28,offline_pos,1339977,1293078,127,1,13400,33499,1137909,64654,90515,
2026-03-29,offline_pos,1290344,1242601,121,1,15484,32259,1093489,62130,86982,
