payment_date,gross_amount,card_amount,cash_amount,simple_pay_amount,refund_amount,discount_amount
2026-03-01,1224000,1043729,59303,83024,7344,30600
2026-03-02,688327,585739,33281,46593,5507,17208
2026-03-03,857766,728415,41387,57942,8578,21444
2026-03-04,934822,792205,45012,63016,11218,23371
2026-03-05,887984,750950,42668,59735,12432,22200
2026-03-06,1388685,1184160,67282,94195,8332,34717
2026-03-07,1337994,1138579,64692,90569,10704,33450
2026-03-08,1428830,1213362,68941,96517,14288,35721
2026-03-09,653904,554144,31485,44080,7847,16348
2026-03-10,941017,795800,45216,63302,13174,23525
2026-03-11,895850,763910,43404,60766,5375,22396
2026-03-12,973386,828312,47063,65888,7787,24335
2026-03-13,1342656,1140183,64783,90696,13427,33566
2026-03-14,1292280,1095130,62223,87113,15507,32307
2026-03-15,1382014,1168742,66406,92968,19348,34550
2026-03-16,685835,584825,33229,46520,4115,17146
2026-03-17,902384,767892,43630,61082,7219,22560
2026-03-18,857532,728217,41376,57926,8575,21438
2026-03-19,933966,791480,44970,62959,11208,23349
2026-03-20,1297281,1097085,62334,87268,18162,32432
2026-03-21,1385800,1181699,67142,93999,8315,34645
2026-03-22,1335852,1136757,64588,90424,10687,33396
2026-03-23,770738,654511,37188,52063,7707,19268
2026-03-24,949905,804987,45738,64033,11399,23748
2026-03-25,939624,794621,45149,63208,13155,23491
2026-03-26,895200,763355,43372,60721,5371,22380
2026-03-27,1252560,1065879,60561,84786,10020,31314
2026-03-28,1339977,1137909,64654,90515,13400,33499
2026-03-29,1290344,1093489,62130,86982,15484,32259
2026-03-30,734160,620865,35276,49387,10278,18354
2026-03-31,909880,775873,44084,61717,5459,22747
2026-04-01,990297,842704,47881,67033,7922,24757
2026-04-02,857088,727839,41355,57896,8571,21427
2026-04-03,1342770,1137917,64654,90516,16113,33569
2026-04-04,1294808,1094994,62216,87102,18127,32370
2026-04-05,1382705,1179060,66992,93789,8296,34568
2026-04-06,698236,594171,33760,47264,5586,17456
2026-04-07,997662,847214,48137,67392,9977,24942
2026-04-08,949824,804918,45734,64028,11398,23746
2026-04-09,900630,761644,43275,60585,12609,22516
2026-04-10,1297940,1106779,62885,88039,7788,32449
2026-04-11,1250293,1063950,60452,84632,10002,31257
2026-04-12,1337088,1135455,64515,90320,13371,33427
2026-04-13,662966,561824,31922,44691,7956,16574
2026-04-14,957528,809763,46009,64413,13405,23938
2026-04-15,743660,634133,36030,50442,4462,18592
2026-04-16,811636,690670,39243,54940,6493,20291
2026-04-17,1123122,953755,54191,75867,11231,28078
2026-04-18,1093968,927072,52675,73744,13128,27349
2026-04-19,1064711,900405,51159,71623,14906,26618
2026-04-20,610650,520714,29586,41420,3664,15266
2026-04-21,755477,642880,36527,51138,6044,18887
2026-04-22,870840,739518,42018,58825,8708,21771
2026-04-23,949533,804673,45720,64008,11394,23738
2026-04-24,1319142,1115572,63385,88739,18468,32979
2026-04-25,1409920,1202267,68311,95635,8460,35248
2026-04-26,1247816,1061841,60332,84465,9983,31195
2026-04-27,708021,601251,34162,47827,7080,17701
2026-04-28,973762,795213,45183,63256,11685,58426
2026-04-29,1061937,865352,49168,68835,14867,63716
2026-04-30,1006720,827444,47014,65819,6040,60403
2026-05-01,1564985,1283538,72928,102100,12520,93899
2026-05-02,1515934,1240641,70491,98687,15159,90956
2026-05-03,1619793,1322787,75158,105222,19438,97188
2026-05-04,750984,611962,34771,48679,10514,45059
2026-05-05,883103,753039,42786,59901,5299,22078
2026-05-06,963297,819728,46575,65206,7706,24082
2026-05-07,914509,776601,44125,61775,9145,22863
2026-05-08,1435930,1216865,69140,96796,17231,35898
2026-05-09,1383096,1169657,66458,93041,19363,34577
2026-05-10,1477760,1260115,71597,100236,8867,36944
2026-05-11,742061,631464,35879,50230,5936,18552
2026-05-12,969780,823537,46792,65509,9698,24245
2026-05-13,922746,781972,44430,62202,11073,23069
2026-05-14,1003445,848594,48216,67502,14048,25086
