order_date,product_name,product_category,quantity,gross_amount,net_amount
2026-03-01,아메리카노,coffee,35,157500,154350
2026-03-01,카페라떼,coffee,22,118800,116424
2026-03-01,바닐라라떼,coffee,12,70800,69384
2026-03-01,콜드브루,coffee,11,61600,60368
2026-03-01,말차라떼,non_coffee,10,62000,60760
2026-03-01,레몬에이드,non_coffee,7,42700,41846
2026-03-01,소금빵,bakery,10,38000,37240
2026-03-01,휘낭시에,bakery,6,19200,18816
2026-03-01,크로플,bakery,5,34000,33320
2026-03-01,샌드위치,food,4,34000,33320
2026-03-02,아메리카노,coffee,23,103500,101430
2026-03-02,카페라떼,coffee,14,75600,74088
2026-03-02,바닐라라떼,coffee,8,47200,46256
2026-03-02,콜드브루,coffee,7,39200,38416
2026-03-02,말차라떼,non_coffee,6,37200,36456
2026-03-02,레몬에이드,non_coffee,5,30500,29890
2026-03-02,소금빵,bakery,6,22800,22344
2026-03-02,휘낭시에,bakery,4,12800,12544
2026-03-02,크로플,bakery,3,20400,19992
2026-03-02,샌드위치,food,2,17000,16660
2026-03-03,아메리카노,coffee,26,117000,114660
2026-03-03,카페라떼,coffee,16,86400,84672
2026-03-03,바닐라라떼,coffee,9,53100,52038
2026-03-03,콜드브루,coffee,8,44800,43904
2026-03-03,말차라떼,non_coffee,7,43400,42532
2026-03-03,레몬에이드,non_coffee,5,30500,29890
2026-03-03,소금빵,bakery,7,26600,26068
2026-03-03,휘낭시에,bakery,5,16000,15680
2026-03-03,크로플,bakery,4,27200,26656
2026-03-03,샌드위치,food,3,25500,24990
2026-03-04,아메리카노,coffee,28,126000,123480
2026-03-04,카페라떼,coffee,18,97200,95256
2026-03-04,바닐라라떼,coffee,10,59000,57820
2026-03-04,콜드브루,coffee,9,50400,49392
2026-03-04,말차라떼,non_coffee,8,49600,48608
2026-03-04,레몬에이드,non_coffee,6,36600,35868
2026-03-04,소금빵,bakery,8,30400,29792
2026-03-04,휘낭시에,bakery,5,16000,15680
2026-03-04,크로플,bakery,4,27200,26656
2026-03-04,샌드위치,food,3,25500,24990
2026-03-05,아메리카노,coffee,27,121500,119070
2026-03-05,카페라떼,coffee,17,91800,89964
2026-03-05,바닐라라떼,coffee,9,53100,52038
2026-03-05,콜드브루,coffee,8,44800,43904
2026-03-05,말차라떼,non_coffee,7,43400,42532
2026-03-05,레몬에이드,non_coffee,6,36600,35868
2026-03-05,소금빵,bakery,7,26600,26068
2026-03-05,휘낭시에,bakery,5,16000,15680
2026-03-05,크로플,bakery,4,27200,26656
2026-03-05,샌드위치,food,3,25500,24990
2026-03-06,아메리카노,coffee,37,166500,163170
2026-03-06,카페라떼,coffee,23,124200,121716
2026-03-06,바닐라라떼,coffee,13,76700,75166
2026-03-06,콜드브루,coffee,12,67200,65856
2026-03-06,말차라떼,non_coffee,10,62000,60760
